City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,24.09,78,75,4.12,Vaini,1684893724
1,cape town,-33.9258,18.4232,15.21,78,0,5.14,Cape Town,1684893600
2,qaanaaq,77.484,-69.3632,-5.59,90,100,2.89,Qaanaaq,1684893726
3,atuona,-9.8,-139.0333,27.44,74,75,2.64,Atuona,1684893726
4,rikitea,-23.1203,-134.9692,25.02,87,10,7.21,Rikitea,1684893727
5,mataura,-46.1927,168.8643,10.89,62,45,2.06,Mataura,1684893727
6,teya,60.3778,92.6267,3.43,70,98,5.76,Teya,1684893727
7,oruro,-17.9833,-67.15,7.29,28,24,2.49,Oruro,1684893728
8,qeshm,26.9581,56.2719,26.93,68,5,0.87,Qeshm,1684893728
9,hobart,-42.8794,147.3294,19.03,57,75,7.2,Hobart,1684893627
10,klaksvik,62.2266,-6.589,8.51,75,7,15.57,Klaksvík,1684893740
11,montepuez,-13.1256,38.9997,15.86,96,5,1.87,Montepuez,1684893741
12,kaitangata,-46.2817,169.8464,11.1,59,54,3.07,Kaitangata,1684893741
13,punta arenas,-53.15,-70.9167,0.06,93,0,5.14,Punta Arenas,1684893741
14,cacoal,-11.4386,-61.4472,24.36,87,99,0.5,Cacoal,1684893742
15,ahipara,-35.1667,173.1667,17.68,73,48,7.37,Ahipara,1684893742
16,hermanus,-34.4187,19.2345,9.89,71,100,1.52,Hermanus,1684893742
17,jamestown,42.097,-79.2353,16.8,77,0,0.45,Jamestown,1684893726
18,mahebourg,-20.4081,57.7,22.16,83,40,1.03,Mahébourg,1684893692
19,gokak,16.1667,74.8333,23.41,54,6,4.32,Gokak,1684893743
20,ushtobe,45.2514,77.9838,18.41,35,0,4.18,Ushtobe,1684893743
21,carutapera,-1.195,-46.02,24.7,91,81,2.12,Carutapera,1684893743
22,nanakuli,21.3906,-158.1547,28.97,65,0,7.05,Nānākuli,1684893744
23,port augusta,-32.5,137.7667,19.51,36,39,7.81,Port Augusta,1684893744
24,lere,10.387,8.5726,24.44,77,38,1.11,Lere,1684893745
25,dubbo,-32.25,148.6167,16.07,41,0,1.54,Dubbo,1684893745
26,kapaa,22.0752,-159.319,27.99,78,15,2.68,Kapaa,1684893745
27,puerto baquerizo moreno,-0.9,-89.6,25.24,78,66,4.21,Puerto Baquerizo Moreno,1684893746
28,ulaanbaatar,47.9077,106.8832,11.07,40,75,6.0,Ulaanbaatar,1684893607
29,vila velha,-20.3297,-40.2925,20.97,98,75,2.06,Vila Velha,1684893746
30,zacatepec,18.65,-99.2,27.03,71,100,1.9,Zacatepec,1684893747
31,dikson,73.5069,80.5464,-0.37,95,100,3.96,Dikson,1684893750
32,kaniama,-7.5667,24.1833,21.08,65,28,1.62,Kaniama,1684893751
33,fuxin,42.0156,121.6589,25.09,27,100,6.76,Fuxin,1684893751
34,jalu,29.0331,21.5482,21.0,41,5,3.22,Jalu,1684893751
35,hovd,48.0056,91.6419,10.81,41,2,1.68,Khovd,1684893751
36,prince rupert,54.3161,-130.3201,12.05,77,0,8.75,Prince Rupert,1684893755
37,macau,22.2006,113.5461,26.03,88,40,7.2,Macao,1684893757
38,dongobesh,-4.0667,35.3833,12.33,95,76,2.84,Dongobesh,1684893757
39,butaritari,3.0707,172.7902,26.85,80,92,4.2,Butaritari,1684893757
40,thompson,55.7435,-97.8558,12.09,40,75,2.06,Thompson,1684893757
41,geraldton,-28.7667,114.6,19.23,82,100,3.6,Geraldton,1684893758
42,nikolskoye,59.7035,30.7861,12.67,73,83,0.66,Nikolskoye,1684893758
43,gracac,44.3006,15.8547,10.86,82,100,2.08,Gračac,1684893758
44,palmer,42.1584,-72.3287,14.9,71,20,1.97,Palmer,1684893758
45,pacocha,-17.5833,-71.3333,18.38,83,0,2.4,Pacocha,1684893759
46,ushuaia,-54.8,-68.3,3.81,93,100,9.77,Ushuaia,1684893756
47,nemuro,43.3236,145.575,4.91,83,100,7.48,Nemuro,1684893759
48,tezu,27.9167,96.1667,30.06,43,100,1.25,Tezu,1684893759
49,port alfred,-33.5906,26.891,15.57,59,9,1.94,Port Alfred,1684893760
50,rocha,-34.4833,-54.3333,20.32,80,100,3.81,Rocha,1684893686
51,tilichiki,60.4667,166.1,3.57,75,100,6.31,Tilichiki,1684893760
52,ostrovnoy,68.0531,39.5131,13.26,78,100,6.64,Ostrovnoy,1684893760
53,la asuncion,11.0333,-63.8628,27.85,83,68,5.66,La Asuncion,1684893761
54,port-cartier,50.0334,-66.8654,6.53,88,50,2.69,Port-Cartier,1684893761
55,yulara,-25.2406,130.9889,18.39,30,7,2.42,Yulara,1684893761
56,vila franca do campo,37.7167,-25.4333,16.23,84,79,3.37,Vila Franca do Campo,1684893762
57,tura,25.5198,90.2201,25.53,78,57,1.77,Tura,1684893762
58,port blair,11.6667,92.75,28.02,89,20,1.54,Port Blair,1684893762
59,hukuntsi,-24.0,21.75,17.59,24,0,3.25,Hukuntsi,1684893763
60,mahibadhoo,3.7833,72.9667,28.45,74,16,2.52,Mahibadhoo,1684893763
61,port hardy,50.6996,-127.4199,13.1,67,20,6.17,Port Hardy,1684893735
62,santander,43.4647,-3.8044,15.81,93,100,2.06,Santander,1684893764
63,kpandae,8.4689,-0.0113,25.56,87,100,1.95,Kpandae,1684893764
64,ketchikan,55.3422,-131.6461,15.55,50,9,2.79,Ketchikan,1684893764
65,sao filipe,14.8961,-24.4956,22.61,82,96,2.1,São Filipe,1684893764
66,labuhan,-6.8844,112.2051,27.82,73,78,3.52,Labuhan,1684893764
67,te anau,-45.4167,167.7167,9.67,70,95,1.24,Te Anau,1684893770
68,new norfolk,-42.7826,147.0587,18.84,53,100,5.36,New Norfolk,1684893770
69,ribeira grande,38.5167,-28.7,17.1,82,92,3.58,Ribeira Grande,1684893771
70,busselton,-33.65,115.3333,14.97,60,81,5.41,Busselton,1684893771
71,albany,42.6001,-73.9662,18.23,65,10,0.89,Albany,1684893050
72,fare,-16.7,-151.0167,26.97,78,48,5.35,Fare,1684893772
73,le port,-20.9373,55.2919,23.27,91,80,1.47,Le Port,1684893772
74,avarua,-21.2078,-159.775,25.03,65,40,2.06,Avarua,1684893759
75,alugan,12.2188,125.4808,30.11,67,94,2.27,Alugan,1684893773
76,saint george,37.1041,-113.5841,33.33,11,0,9.26,Saint George,1684893609
77,atar,20.5169,-13.0499,26.13,20,98,3.41,Atar,1684893773
78,esperance,-33.8667,121.9,15.97,76,100,10.44,Esperance,1684893773
79,rauma,61.1272,21.5113,10.02,61,94,3.9,Rauma,1684893774
80,hilo,19.7297,-155.09,27.19,78,34,1.79,Hilo,1684893774
81,pout,14.7739,-17.0603,23.99,83,0,5.14,Pout,1684893774
